City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Lagos,NG,2021-07-12 15:38:33,6.5833,3.75,84.52,70,71,9.31
222,Viedma,AR,2021-07-12 15:38:34,-40.8135,-62.9967,57.25,33,0,11.9
223,Zhanakorgan,KZ,2021-07-12 15:38:34,43.9098,67.2495,88.79,19,43,11.63
224,Valparaiso,CL,2021-07-12 15:37:27,-33.0393,-71.6273,55.04,80,90,5.75
225,Marfino,RU,2021-07-12 15:36:17,55.7028,37.3822,87.08,40,0,4.47
226,Bairiki,KI,2021-07-12 15:38:34,1.3292,172.9752,80.6,83,40,9.22
227,Luanshya,ZM,2021-07-12 15:38:35,-13.1367,28.4166,55.56,47,84,5.59
228,Sakakah,SA,2021-07-12 15:37:19,29.9697,40.2064,108.97,9,0,7.92
229,Neuquen,AR,2021-07-12 15:36:23,-38.9516,-68.0591,46.29,53,0,8.05
230,Bilma,NE,2021-07-12 15:38:35,18.6853,12.9164,106.74,8,1,4.36
231,Erzin,TR,2021-07-12 15:38:35,36.9559,36.2,90.12,78,1,7.43
232,Pedregulho,BR,2021-07-12 15:38:36,-20.2569,-47.4767,77.81,18,0,6.49
233,Caceres,ES,2021-07-12 15:38:36,39.522,-6.3748,77.81,18,0,14.85
234,Soyo,AO,2021-07-12 15:36:30,-6.1349,12.3689,78.85,78,1,11.74
235,Nabire,ID,2021-07-12 15:38:36,-3.3667,135.4833,75.61,94,91,3.33
236,Sar-E Pul,AF,2021-07-12 15:38:37,35.8333,66.1667,70.72,35,0,1.61
237,Lichuan,CN,2021-07-12 15:38:37,30.3,108.85,65.79,99,37,1.9
238,Balingasay,PH,2021-07-12 15:38:37,16.3573,119.8564,84.4,79,100,7.2
239,Hambantota,LK,2021-07-12 15:36:29,6.1241,81.1185,80.94,89,0,10.36
240,Sidhi,IN,2021-07-12 15:38:38,24.4167,81.8833,90.27,52,99,5.75
241,Castro,BR,2021-07-12 15:37:11,-24.7911,-50.0119,70.36,40,40,6.35
242,Puerto Del Rosario,ES,2021-07-12 15:38:38,28.5004,-13.8627,85.68,65,58,17.27
243,Arraial Do Cabo,BR,2021-07-12 15:36:45,-22.9661,-42.0278,78.76,69,20,10.36
244,Perth,AU,2021-07-12 15:38:21,-31.9333,115.8333,65.05,78,75,17.27
245,Kantang,TH,2021-07-12 15:38:39,7.4054,99.5156,77.95,87,93,3.69
246,Ostrovnoy,RU,2021-07-12 15:38:39,68.0531,39.5131,54.39,69,100,10.36
247,Port Hardy,CA,2021-07-12 15:36:36,50.6996,-127.4199,55.58,88,90,4.61
248,Abrau-Dyurso,RU,2021-07-12 15:38:39,44.69,37.59,78.26,65,56,7.34
249,Mujiayingzi,CN,2021-07-12 15:38:40,42.1167,118.7833,67.77,97,100,9.51
250,Adrar,MR,2021-07-12 15:36:09,20.5022,-10.0711,105.28,17,62,5.57
251,Akyab,MM,2021-07-12 15:38:40,20.15,92.9,81.9,83,60,15.28
252,Deputatskiy,RU,2021-07-12 15:38:40,69.3,139.9,41.67,82,100,2.77
253,Doka,SD,2021-07-12 15:38:41,13.5167,35.7667,82.67,56,26,7.45
254,Zaysan,KZ,2021-07-12 15:38:41,47.4667,84.8667,65.41,58,19,5.77
255,Mackay,AU,2021-07-12 15:38:41,-21.15,149.2,62.69,100,40,4.61
256,Coihaique,CL,2021-07-12 15:38:42,-45.5752,-72.0662,46.35,61,75,3.44
257,Marihatag,PH,2021-07-12 15:38:42,8.7936,126.2969,78.08,90,100,3.06
258,Port Moresby,PG,2021-07-12 15:32:14,-9.4431,147.1797,78.22,89,20,17.27
259,Palana,RU,2021-07-12 15:38:42,59.1167,159.9667,47.64,99,100,5.28
260,Lusambo,CD,2021-07-12 15:38:43,-4.9667,23.45,84.58,20,2,1.03
261,Mar Del Plata,AR,2021-07-12 15:32:41,-38.0023,-57.5575,61.09,61,0,1.99
262,Tallahassee,US,2021-07-12 15:38:11,30.4383,-84.2807,82.49,91,40,6.91
263,Canutama,BR,2021-07-12 15:38:43,-6.5339,-64.3831,94.66,32,88,2.46
264,Hamilton,US,2021-07-12 15:37:31,39.1834,-84.5333,79.88,88,75,1.01
265,Mbanza-Ngungu,CD,2021-07-12 15:38:44,-5.25,14.8667,82.99,35,61,6.06
266,Noumea,NC,2021-07-12 15:38:44,-22.2763,166.4572,70.0,99,98,7.14
267,Teknaf,BD,2021-07-12 15:38:44,20.8624,92.3058,81.64,85,99,13.29
268,Upernavik,GL,2021-07-12 15:35:57,72.7868,-56.1549,41.99,66,4,10.2
269,Chaman,PK,2021-07-12 15:38:45,30.9236,66.4512,92.68,11,0,3.78
270,Mastic Beach,US,2021-07-12 15:38:45,40.7668,-72.8521,82.17,84,90,7.0
271,Byron Bay,AU,2021-07-12 15:38:45,-28.65,153.6167,55.87,85,33,3.29
272,Tura,IN,2021-07-12 15:37:33,25.5198,90.2201,77.83,85,74,2.06
273,Kissidougou,GN,2021-07-12 15:38:46,9.1848,-10.0999,77.99,76,100,3.06
